"internet_compras_antes";"internet_serv_antes";"modo_compras_antes";"modo_serv_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"star_preco_antes";"star_compra_non_comercial_antes";"star_preco_entrega_antes";"star_prazo_entrega_antes";"star_entrega_agendada_antes";"star_retirada_antes";"star_devolucao_antes";"star_contato_antes";"cidade_moradia_antes";"bairro_moradia_antes";"cidade_trabalho_antes";"bairro_trabalho_antes";"internet_compras_depois";"internet_serv_depois";"modo_compras_depois";"modo_serv_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"star_preco_depois";"star_compra_non_comercial_depois";"star_preco_entrega_depois";"star_prazo_entrega_depois";"star_entrega_agendada_depois";"star_retirada_depois";"star_devolucao_depois";"star_contato_depois";"fisica_nenhuma";"internet_nenhuma";"fisica_mais";"internet_mais";"fisica_menos";"internet_menos";"fisica_dif";"internet_dif";"iso_parcial";"iso_total";"sou_risco";"moro_risco";"prof_saude";"genero";"idade";"escolaridade";"estuda";"nivel_educ";"adult_menos_60";"adult_mais_60";"jovens";"crincas";"bebes";"prof";"domi";"renda"
"ate 2 vezes por semana";"ate 2 vezes por semana";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"4";"5";"4";"4";"3";"3";"3";"1";"belo horizonte";"santa lucia";"belo horizonte";"nova gameleira";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"4";"4";"4";"5";"3";"1";"3";"1";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"sim";"sim";"nao";"homem";"43";"mestrado ou doutorado";"nao";NA;"2";"1";NA;"2";NA;"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"5";"1";"4";"4";"1";"1";"1";"1";"belo horizonte";"sao bento";"belo horizonte";"savassi";"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"entre 2 e 5 vezes por mes";"nunca";"nunca";"5";"1";"4";"4";"1";"1";"1";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"sim";"sim";"mulher";"41";"pos-graduacao (especializacao)";"nao";NA;"1";"2";"0";"0";"0";"autonomo(a), sem cnpj";"outros";"entre 5.000 e 10.000 reais"
"entre 3 e 6 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"5";"5";"1";"1";"1";"3";"1";"5";"belo horizonte";"engenho nogueira";"belo horizonte";"cidade jardim";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"3";"3";"1";"5";"1";"1";"1";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"sim";"mulher";"40";"mestrado ou doutorado";"nao";NA;"2";NA;NA;"2";NA;"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"ate 2 vezes por semana";"moto particular";"moto particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"3";"4";"2";"2";"belo horizonte";"camargos";"belo horizotne";"savassi";"eventualmente";"nao houve necessidade de deslocamento";"moto particular";"moto particular";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"entre 2 e 5 vezes por mes";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"3";"1";"1";"1";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"nao";"nao";"homem";"33";"pos-graduacao (especializacao)";"sim";"graduacao";"1";NA;NA;NA;NA;"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"4";"5";"4";"2";"1";"5";"1";"belo horizonte";"bairro castelo";"bh/ mariana/ ouro preto/ ponte nova/ rio doce";"diversos";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"4";"5";"5";"1";"1";"5";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"sim";"nao";"nao";"mulher";"42";"pos-graduacao (especializacao)";"sim";"pos-graduacao";"1";"0";"0";"1";"0";"autonomo(a), com cnpj";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"n/a";"automovel particular";"n/a";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"5";"3";"5";"5";"5";"5";"5";"1";"belo horizonte";"buritis";"bh";"buritis";"ate 2 vezes por semana";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"5";"4";"5";"5";"5";"1";"5";"5";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;"compras pela internet";"compras em lojas fisicas";NA;"sim";"nao";"nao";"sim";"nao";"mulher";"45";"pos-graduacao (especializacao)";"nao";NA;"3";"0";"1";"1";"0";"desempregado(a), nao procurando emprego";"dependente";"entre 3.000 e 5.000 reais"
"ate 2 vezes por semana";"sem necessidade de deslocamento";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"5";"5";"5";"5";"4";"1";"1";"1";"belo horizonte";"nova suica";"belo horizonte";"nova suica";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"5";"5";"5";"5";"1";"1";"1";"1";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;"compras pela internet";NA;"compras pela internet";"sim";"nao";"nao";"nao";"nao";"mulher";"52";"mestrado ou doutorado";"nao";NA;"1";NA;NA;"1";NA;"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"entre 3 e 6 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"a pe";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"nunca";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"1";"3";"2";"2";"2";"3";"3";"belo horizonte";"savassi";"belo horizonte";"buritis";"eventualmente";"n/a";"n/a";"n/a";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"2";"5";"5";"1";"2";"5";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"sim";"sim";"nao";"mulher";"41";"mestrado ou doutorado";"nao";NA;"2";"0";"0";"1";"1";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"4";"4";"5";"4";"5";"4";"5";"1";"belo horizonte";"gutierrez";"belo horizonte";"gameleira";"eventualmente";"nao houve necessidade de deslocamento";"n/a";"n/a";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"4";"5";"5";"5";"4";"2";"5";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"nao";"nao";"nao";"mulher";"41";"mestrado ou doutorado";"nao";NA;"2";"0";"0";"1";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"acima de 20.000 reais"
"entre 3 e 6 vezes por semana";"eventualmente";"automovel particular";"moto particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"3";"5";"4";"1";"1";"5";"2";"belo horizonte";"santa ines";"belo horizonte";"savassi";"ate 2 vezes por semana";"eventualmente";"moto particular";"moto particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"5";"1";"5";"4";"1";"1";"4";"3";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"homem";"31";"pos-graduacao (especializacao)";"nao";NA;"1";NA;NA;"2";NA;"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
